2024-06-03 19:59:04,697 INFO  SnsAmbassador - Added Vehicle id=veh_75 position=GeoPoint{lat=41.554126,lon=-8.429684,alt=0.00} @time=474.000,000,000 s
2024-06-03 19:59:04,697 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_75 @time=474.000,000,000 s
2024-06-03 19:59:05,130 INFO  SnsAmbassador - Added Vehicle id=veh_79 position=GeoPoint{lat=41.554126,lon=-8.429684,alt=0.00} @time=510.000,000,000 s
2024-06-03 19:59:05,130 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 30.0 for node id=veh_79 @time=510.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_16 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_15 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_59 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_14 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_13 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_19 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_18 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_17 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_12 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_11 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_10 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_54 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_53 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_4 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_5 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_2 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_27 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_26 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_25 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_24 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_29 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_28 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_63 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_8 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_23 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_67 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_9 @time=1000.000,000,000 s
